pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,height_m,weight_kg,is_legendary,moves
125,Electabuzz,electric,,65,83,57,95,85,105,1,1.1,30.0,0,Thunder Shock;Body Slam;Fire Punch;Covet;Focus Punch;Feint;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Discharge;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Thunder;Skull Bash;Round;Volt Switch;Brick Break;Headbutt;Mud-Slap;Iron Tail;Thunder Punch;Cross Chop;Signal Beam;Electroweb;Wild Charge;Dual Chop;Rock Climb;Karate Chop;Rage;Zap Cannon;Submission;Facade;Hyper Beam;Strength;Thief;Double-Edge;Quick Attack;Charge Beam;Mega Punch;Psychic;Hidden Power;Rolling Kick;Low Sweep;Hammer Arm;Snore;Uproar;Giga Impact
126,Magmar,fire,,65,95,57,100,85,93,1,1.3,44.5,0,Body Slam;Fire Punch;Covet;Focus Punch;Flame Burst;Dynamic Punch;Overheat;Take Down;Secret Power;Power-Up Punch;Belch;Rock Smash;Mega Kick;Smog;Focus Blast;Skull Bash;Round;Brick Break;Headbutt;Mud-Slap;Iron Tail;Flame Charge;Thunder Punch;Cross Chop;Fire Blast;Flamethrower;Dual Chop;Rock Climb;Karate Chop;Rage;Heat Wave;Submission;Facade;Hyper Beam;Lava Plume;Strength;Thief;Double-Edge;Incinerate;Ember;Mega Punch;Mach Punch;Psychic;Hidden Power;Low Sweep;Flare Blitz;Snore;Uproar;Giga Impact
127,Pinsir,bug,,65,155,120,65,90,105,1,1.5,55.0,0,Body Slam;Focus Punch;Dig;Feint;Take Down;Superpower;Secret Power;Bulldoze;Struggle Bug;Rock Smash;Focus Blast;Round;Stone Edge;Brick Break;Headbutt;Rock Slide;Earthquake;False Swipe;Slash;Double Hit;Smack Down;Rock Climb;X-Scissor;Knock Off;Rage;Fury Attack;Cut;Thrash;Vice Grip;Submission;Facade;Hyper Beam;Strength;Thief;Revenge;Double-Edge;Quick Attack;Bug Bite;Hidden Power;Storm Throw;Brutal Swing;Fury Cutter;Snore;Close Combat;Giga Impact
128,Tauros,normal,,75,100,95,40,70,110,1,1.4,88.4,0,Horn Attack;Body Slam;Zen Headbutt;Thunderbolt;Take Down;Secret Power;Bulldoze;Outrage;Solar Beam;Rock Smash;Thunder;Skull Bash;Iron Head;Round;Stone Edge;Headbutt;Rock Slide;Iron Tail;Earthquake;Pursuit;Ice Beam;Fire Blast;Flamethrower;Wild Charge;Rock Climb;Rage;Payback;Retaliate;Surf;Thrash;Zap Cannon;Facade;Hyper Beam;Stomp;Strength;Double-Edge;Incinerate;Water Pulse;Icy Wind;Hidden Power;Snore;Uproar;Giga Impact
129,Magikarp,water,,20,10,55,15,20,80,1,0.9,10.0,0,Bounce
130,Gyarados,water,flying,95,155,109,70,130,81,1,6.5,235.0,0,Body Slam;Twister;Thunderbolt;Scald;Take Down;Secret Power;Bulldoze;Outrage;Rock Smash;Thunder;Bounce;Skull Bash;Iron Head;Round;Avalanche;Stone Edge;Headbutt;Iron Tail;Brine;Earthquake;Bite;Ice Beam;Fire Blast;Flamethrower;Dark Pulse;Hurricane;Rage;Waterfall;Crunch;Payback;Water Gun;Surf;Thrash;Zap Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Dragon Breath;Double-Edge;Hydro Pump;Incinerate;Water Pulse;Icy Wind;Hidden Power;Brutal Swing;Bubble Beam;Dragon Tail;Snore;Ice Fang;Uproar;Giga Impact;Dive
131,Lapras,water,ice,130,85,80,85,95,60,1,2.5,220.0,0,Hyper Voice;Body Slam;Zen Headbutt;Thunderbolt;Take Down;Secret Power;Bulldoze;Ice Shard;Outrage;Solar Beam;Rock Smash;Aurora Beam;Thunder;Skull Bash;Iron Head;Round;Avalanche;Headbutt;Brine;Iron Tail;Drill Run;Ice Beam;Signal Beam;Echoed Voice;Frost Breath;Rage;Waterfall;Ancient Power;Water Gun;Surf;Zap Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Dragon Breath;Double-Edge;Hydro Pump;Water Pulse;Freeze-Dry;Dream Eater;Psychic;Icy Wind;Hidden Power;Bubble Beam;Snore;Giga Impact;Dive
132,Ditto,normal,,48,48,48,48,48,48,1,0.3,4.0,0,
133,Eevee,normal,,55,55,50,45,65,55,1,0.3,6.5,0,Hyper Voice;Body Slam;Skull Bash;Round;Covet;Double-Edge;Quick Attack;Rage;Headbutt;Mud-Slap;Dig;Retaliate;Iron Tail;Take Down;Hidden Power;Secret Power;Stored Power;Bite;Synchronoise;Echoed Voice;Last Resort;Shadow Ball;Facade;Snore
134,Vaporeon,water,,130,65,60,110,95,65,1,1.0,29.0,0,Hyper Voice;Body Slam;Covet;Dig;Scald;Take Down;Secret Power;Stored Power;Muddy Water;Rock Smash;Aurora Beam;Skull Bash;Round;Headbutt;Mud-Slap;Iron Tail;Brine;Bite;Ice Beam;Signal Beam;Synchronoise;Echoed Voice;Rage;Waterfall;Retaliate;Water Gun;Surf;Last Resort;Facade;Hyper Beam;Aqua Tail;Strength;Double-Edge;Quick Attack;Hydro Pump;Water Pulse;Icy Wind;Hidden Power;Bubble Beam;Shadow Ball;Snore;Giga Impact;Dive
135,Jolteon,electric,,65,65,60,110,95,130,1,0.8,24.5,0,Hyper Voice;Thunder Shock;Body Slam;Covet;Thunder Fang;Dig;Thunderbolt;Take Down;Secret Power;Discharge;Stored Power;Rock Smash;Thunder;Skull Bash;Round;Volt Switch;Headbutt;Mud-Slap;Iron Tail;Bite;Signal Beam;Synchronoise;Echoed Voice;Wild Charge;Rage;Retaliate;Zap Cannon;Last Resort;Facade;Hyper Beam;Strength;Double-Edge;Quick Attack;Charge Beam;Hidden Power;Shadow Ball;Snore;Double Kick;Giga Impact
136,Flareon,fire,,65,130,60,95,110,65,1,0.9,25.0,0,Hyper Voice;Body Slam;Covet;Dig;Overheat;Take Down;Superpower;Secret Power;Stored Power;Rock Smash;Smog;Skull Bash;Round;Headbutt;Mud-Slap;Iron Tail;Flame Charge;Bite;Fire Blast;Synchronoise;Flamethrower;Echoed Voice;Fire Fang;Rage;Retaliate;Heat Wave;Zap Cannon;Last Resort;Facade;Hyper Beam;Lava Plume;Strength;Double-Edge;Quick Attack;Incinerate;Ember;Hidden Power;Flare Blitz;Shadow Ball;Snore;Giga Impact
137,Porygon,normal,,65,60,70,85,75,40,1,0.8,36.5,0,Thunder;Psyshock;Thief;Psybeam;Skull Bash;Round;Double-Edge;Zen Headbutt;Rage;Charge Beam;Iron Tail;Foul Play;Thunderbolt;Dream Eater;Take Down;Psychic;Icy Wind;Hidden Power;Secret Power;Discharge;Solar Beam;Zap Cannon;Signal Beam;Ice Beam;Electroweb;Last Resort;Shadow Ball;Tri Attack;Hyper Beam;Snore;Facade;Giga Impact
138,Omanyte,rock,water,35,40,100,90,55,35,1,0.4,7.5,0,Horn Attack;Body Slam;Scald;Take Down;Secret Power;Muddy Water;Rock Smash;Aurora Beam;Round;Constrict;Headbutt;Rock Slide;Slam;Brine;Bite;Ice Beam;Smack Down;Mud Shot;Spike Cannon;Knock Off;Rage;Waterfall;Ancient Power;Water Gun;Surf;Facade;Rollout;Thief;Double-Edge;Hydro Pump;Water Pulse;Icy Wind;Hidden Power;Bubble Beam;Earth Power;Snore;Dive
139,Omastar,rock,water,70,60,125,115,70,55,1,1.0,35.0,0,Horn Attack;Body Slam;Scald;Take Down;Secret Power;Muddy Water;Rock Smash;Aurora Beam;Skull Bash;Constrict;Round;Stone Edge;Headbutt;Rock Slide;Slam;Brine;Bite;Ice Beam;Smack Down;Mud Shot;Rock Climb;Spike Cannon;Knock Off;Rage;Waterfall;Ancient Power;Water Gun;Surf;Submission;Facade;Hyper Beam;Rollout;Thief;Double-Edge;Hydro Pump;Water Pulse;Icy Wind;Hidden Power;Bubble Beam;Earth Power;Snore;Giga Impact;Dive
140,Kabuto,rock,water,30,80,90,55,45,55,1,0.5,11.5,0,Thief;Body Slam;Round;Knock Off;Double-Edge;Hydro Pump;Rage;Waterfall;Ancient Power;Dig;Mud-Slap;Rock Slide;Rapid Spin;Scratch;Water Pulse;Brine;Scald;Take Down;Icy Wind;Hidden Power;Secret Power;Aqua Jet;Water Gun;Surf;Slash;Ice Beam;Bubble Beam;Earth Power;Rock Smash;Smack Down;Mud Shot;Aurora Beam;Absorb;Facade;Giga Drain;Rollout;Snore;Mega Drain
141,Kabutops,rock,water,60,115,105,65,70,80,1,1.3,40.5,0,Body Slam;Dig;Feint;Scald;Take Down;Superpower;Secret Power;Night Slash;Rock Smash;Mega Kick;Aurora Beam;Giga Drain;Mega Drain;Skull Bash;Round;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Brine;Scratch;Aqua Jet;Slash;Ice Beam;Smack Down;Mud Shot;Absorb;Rock Climb;X-Scissor;Knock Off;Rage;Waterfall;Ancient Power;Rapid Spin;Cut;Water Gun;Surf;Submission;Facade;Hyper Beam;Rollout;Aqua Tail;Thief;Double-Edge;Hydro Pump;Water Pulse;Icy Wind;Hidden Power;Fury Cutter;Bubble Beam;Earth Power;Snore;Giga Impact;Dive
142,Aerodactyl,rock,flying,80,135,85,70,95,150,1,1.8,59.0,0,Thunder Fang;Twister;Fly;Take Down;Secret Power;Bulldoze;Ominous Wind;Rock Smash;Round;Iron Head;Assurance;Stone Edge;Headbutt;Rock Slide;Steel Wing;Iron Tail;Earthquake;Pursuit;Bite;Fire Blast;Flamethrower;Dragon Claw;Smack Down;Fire Fang;Rage;Crunch;Ancient Power;Payback;Heat Wave;Sky Drop;Sky Attack;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Thief;Dragon Breath;Double-Edge;Incinerate;Wing Attack;Hidden Power;Brutal Swing;Air Cutter;Earth Power;Snore;Ice Fang;Giga Impact
143,Snorlax,normal,,160,110,65,65,110,30,1,2.1,460.0,0,Self-Destruct;Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Dynamic Punch;Thunderbolt;Take Down;Superpower;Secret Power;Bulldoze;Chip Away;Power-Up Punch;Outrage;Solar Beam;Belch;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Thunder;Iron Head;Skull Bash;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Earthquake;Seed Bomb;Pursuit;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Smack Down;Wild Charge;Rock Climb;Rage;Crunch;Retaliate;Lick;Water Gun;Surf;Zap Cannon;Pay Day;Submission;Last Resort;Facade;Hyper Beam;Rollout;Strength;Double-Edge;Incinerate;High Horsepower;Water Pulse;Mega Punch;Psychic;Icy Wind;Hidden Power;Bubble Beam;Shadow Ball;Snore;Uproar;Giga Impact
144,Articuno,ice,flying,90,85,100,95,125,85,1,1.7,55.4,1,Peck;Gust;Round;Hurricane;Double-Edge;Avalanche;Rage;Twister;Ancient Power;Mud-Slap;Steel Wing;U-turn;Freeze-Dry;Water Pulse;Take Down;Fly;Icy Wind;Hidden Power;Secret Power;Sky Drop;Ice Shard;Water Gun;Air Cutter;Ice Beam;Ominous Wind;Signal Beam;Bubble Beam;Rock Smash;Sky Attack;Facade;Powder Snow;Snore;Hyper Beam;Frost Breath;Giga Impact;Pluck
145,Zapdos,electric,flying,90,90,85,125,90,100,1,1.6,52.6,1,Peck;Thunder;Thunder Shock;Round;Volt Switch;Double-Edge;Rage;Charge Beam;Twister;Ancient Power;Mud-Slap;Steel Wing;U-turn;Thunderbolt;Heat Wave;Take Down;Fly;Hidden Power;Sky Drop;Secret Power;Discharge;Air Cutter;Zap Cannon;Signal Beam;Ominous Wind;Rock Smash;Drill Peck;Sky Attack;Wild Charge;Facade;Hyper Beam;Snore;Pluck;Giga Impact
146,Moltres,fire,flying,90,100,90,125,85,90,1,2.0,60.0,1,Peck;Round;Hurricane;Double-Edge;Rage;Incinerate;Twister;Ancient Power;Wing Attack;Mud-Slap;Steel Wing;Ember;Overheat;U-turn;Heat Wave;Take Down;Hidden Power;Sky Drop;Secret Power;Flame Charge;Air Cutter;Solar Beam;Air Slash;Ominous Wind;Fire Blast;Flamethrower;Rock Smash;Fly;Sky Attack;Facade;Hyper Beam;Snore;Pluck;Giga Impact;Burn Up
147,Dratini,dragon,,41,64,45,50,50,50,1,1.8,3.3,0,Thunder;Dragon Rush;Body Slam;Dragon Breath;Skull Bash;Round;Double-Edge;Rage;Waterfall;Headbutt;Twister;Incinerate;Slam;Extreme Speed;Iron Tail;Draco Meteor;Thunderbolt;Water Pulse;Take Down;Icy Wind;Hidden Power;Secret Power;Brutal Swing;Aqua Jet;Water Gun;Surf;Outrage;Zap Cannon;Ice Beam;Bubble Beam;Flamethrower;Fire Blast;Dragon Tail;Facade;Hyper Beam;Snore;Aqua Tail;Dragon Pulse
148,Dragonair,dragon,,61,84,65,70,70,70,1,4.0,16.5,0,Body Slam;Twister;Thunderbolt;Take Down;Secret Power;Outrage;Thunder;Skull Bash;Round;Headbutt;Slam;Extreme Speed;Iron Tail;Aqua Jet;Ice Beam;Fire Blast;Flamethrower;Rage;Waterfall;Water Gun;Surf;Zap Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Draco Meteor;Water Pulse;Icy Wind;Hidden Power;Brutal Swing;Bubble Beam;Dragon Tail;Snore
149,Dragonite,dragon,flying,91,134,95,100,100,80,1,2.2,210.0,0,Body Slam;Fire Punch;Twister;Focus Punch;Dynamic Punch;Thunderbolt;Fly;Take Down;Superpower;Secret Power;Bulldoze;Outrage;Power-Up Punch;Ice Punch;Ominous Wind;Rock Smash;Focus Blast;Thunder;Skull Bash;Iron Head;Round;Brick Break;Stone Edge;Headbutt;Steel Wing;Mud-Slap;Rock Slide;Slam;Extreme Speed;Iron Tail;Earthquake;Aqua Jet;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Dragon Claw;Hurricane;Rage;Waterfall;Heat Wave;Sky Drop;Cut;Water Gun;Surf;Zap Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Wing Attack;Draco Meteor;Water Pulse;Icy Wind;Hidden Power;Brutal Swing;Fury Cutter;Air Cutter;Bubble Beam;Dragon Tail;Snore;Giga Impact;Dive
150,Mewtwo,psychic,,106,150,70,194,120,140,1,2.0,122.0,1,Self-Destruct;Body Slam;Fire Punch;Zen Headbutt;Focus Punch;Dynamic Punch;Thunderbolt;Confusion;Take Down;Secret Power;Bulldoze;Power-Up Punch;Solar Beam;Ice Punch;Psycho Cut;Rock Smash;Mega Kick;Focus Blast;Thunder;Psyshock;Skull Bash;Round;Avalanche;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Poison Jab;Iron Tail;Earthquake;Thunder Punch;Ice Beam;Signal Beam;Flamethrower;Fire Blast;Rock Climb;Rage;Energy Ball;Psystrike;Water Gun;Zap Cannon;Pay Day;Drain Punch;Submission;Facade;Hyper Beam;Aqua Tail;Strength;Double-Edge;Charge Beam;Incinerate;Foul Play;Water Pulse;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Brutal Swing;Low Sweep;Bubble Beam;Shadow Ball;Tri Attack;Snore;Giga Impact;Dive
151,Mew,psychic,,100,100,100,100,100,100,1,0.4,4.0,1,Self-Destruct;Fake Out;Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Twister;Dig;Dynamic Punch;Overheat;Thunderbolt;U-turn;Scald;Take Down;Fly;Superpower;Secret Power;Bulldoze;Struggle Bug;Venoshock;Outrage;Solar Beam;Power-Up Punch;Explosion;Ice Punch;Ominous Wind;Rock Smash;Mega Kick;Sludge Wave;Sludge Bomb;Giga Drain;Mega Drain;Vacuum Wave;Focus Blast;Thunder;Psyshock;Bounce;Iron Head;Skull Bash;Round;Volt Switch;Avalanche;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Steel Wing;Shadow Claw;Flash Cannon;Dazzling Gleam;Poison Jab;Iron Tail;Brine;Earthquake;Seed Bomb;Silver Wind;False Swipe;Flame Charge;Thunder Punch;Drill Run;Ice Beam;Signal Beam;Flamethrower;Dark Pulse;Fire Blast;Echoed Voice;Dragon Claw;Smack Down;Electroweb;Dual Chop;Wild Charge;Rock Climb;X-Scissor;Frost Breath;Pluck;Egg Bomb;Knock Off;Rage;Waterfall;Ancient Power;Payback;Retaliate;Energy Ball;Leech Life;Heat Wave;Sky Drop;Cut;Water Gun;Surf;Zap Cannon;Pay Day;Drain Punch;Bullet Seed;Submission;Last Resort;Sky Attack;Facade;Hyper Beam;Rollout;Aqua Tail;Dragon Pulse;Snarl;Strength;Thief;Dragon Breath;Double-Edge;Charge Beam;Incinerate;Bug Bite;Foul Play;Water Pulse;Pound;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Brutal Swing;Fury Cutter;Infestation;Air Cutter;Low Sweep;Earth Power;Bubble Beam;Sucker Punch;Dragon Tail;Shadow Ball;Tri Attack;Snore;Uproar;Giga Impact;Dive;Acrobatics
152,Chikorita,grass,,45,49,65,49,65,45,2,0.9,6.4,0,Body Slam;Round;Grass Pledge;Double-Edge;Headbutt;Ancient Power;Mud-Slap;Energy Ball;Iron Tail;Seed Bomb;Hidden Power;Secret Power;Cut;Vine Whip;Fury Cutter;Leaf Storm;Solar Beam;Bullet Seed;Echoed Voice;Razor Leaf;Facade;Giga Drain;Snore
153,Bayleef,grass,,60,62,80,63,80,60,2,1.2,15.8,0,Strength;Body Slam;Round;Grass Pledge;Double-Edge;Headbutt;Ancient Power;Mud-Slap;Energy Ball;Iron Tail;Seed Bomb;Hidden Power;Secret Power;Cut;Vine Whip;Fury Cutter;Leaf Storm;Solar Beam;Bullet Seed;Rock Smash;Echoed Voice;Razor Leaf;Facade;Giga Drain;Snore
154,Meganium,grass,,80,82,100,83,100,80,2,1.8,100.5,0,Petal Dance;Body Slam;Grass Pledge;Secret Power;Bulldoze;Outrage;Solar Beam;Rock Smash;Giga Drain;Round;Headbutt;Mud-Slap;Iron Tail;Earthquake;Seed Bomb;Vine Whip;Echoed Voice;Rock Climb;Razor Leaf;Frenzy Plant;Ancient Power;Energy Ball;Cut;Bullet Seed;Petal Blizzard;Facade;Hyper Beam;Strength;Double-Edge;Hidden Power;Fury Cutter;Leaf Storm;Dragon Tail;Snore;Giga Impact
155,Cyndaquil,fire,,39,52,43,60,50,65,2,0.5,7.9,0,Body Slam;Round;Covet;Double-Edge;Quick Attack;Headbutt;Incinerate;Extrasensory;Mud-Slap;Dig;Flame Burst;Iron Tail;Ember;Eruption;Overheat;Heat Wave;Hidden Power;Cut;Fury Swipes;Flame Charge;Secret Power;Thrash;Flare Blitz;Fire Blast;Flamethrower;Submission;Flame Wheel;Fire Pledge;Wild Charge;Inferno;Facade;Snore;Rollout;Double Kick;Lava Plume;Crush Claw;Burn Up
156,Quilava,fire,,58,64,58,80,65,80,2,0.9,19.0,0,Strength;Body Slam;Round;Covet;Double-Edge;Quick Attack;Brick Break;Headbutt;Focus Punch;Extrasensory;Mud-Slap;Dig;Incinerate;Flame Burst;Iron Tail;Ember;Eruption;Overheat;Heat Wave;Hidden Power;Cut;Fury Swipes;Flame Charge;Secret Power;Fury Cutter;Thrash;Flare Blitz;Fire Blast;Flamethrower;Submission;Rock Smash;Flame Wheel;Fire Pledge;Wild Charge;Inferno;Facade;Snore;Rollout;Double Kick;Lava Plume;Crush Claw;Burn Up
157,Typhlosion,fire,,78,84,78,109,85,100,2,1.7,79.5,0,Body Slam;Fire Punch;Covet;Focus Punch;Dig;Flame Burst;Dynamic Punch;Overheat;Fury Swipes;Secret Power;Bulldoze;Power-Up Punch;Solar Beam;Rock Smash;Crush Claw;Mega Kick;Inferno;Focus Blast;Round;Brick Break;Headbutt;Extrasensory;Mud-Slap;Rock Slide;Shadow Claw;Iron Tail;Eruption;Earthquake;Flame Charge;Thunder Punch;Fire Blast;Flamethrower;Flame Wheel;Wild Charge;Rock Climb;Heat Wave;Cut;Thrash;Submission;Blast Burn;Fire Pledge;Facade;Hyper Beam;Rollout;Lava Plume;Strength;Double-Edge;Quick Attack;Incinerate;Ember;Mega Punch;Hidden Power;Fury Cutter;Flare Blitz;Snore;Double Kick;Giga Impact;Burn Up
158,Totodile,water,,50,65,64,44,48,43,2,0.6,9.5,0,Body Slam;Focus Punch;Dig;Dynamic Punch;Scald;Superpower;Secret Power;Chip Away;Power-Up Punch;Ice Punch;Mega Kick;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Aqua Jet;Bite;Slash;Ice Beam;Dragon Claw;Rage;Waterfall;Crunch;Ancient Power;Cut;Water Gun;Surf;Thrash;Facade;Aqua Tail;Double-Edge;Hydro Pump;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Snore;Ice Fang;Uproar;Dive
159,Croconaw,water,,65,80,80,59,63,58,2,1.1,25.0,0,Body Slam;Focus Punch;Dig;Dynamic Punch;Scald;Superpower;Secret Power;Chip Away;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Aqua Jet;Bite;Slash;Ice Beam;Dragon Claw;Rage;Waterfall;Crunch;Ancient Power;Cut;Water Gun;Surf;Thrash;Facade;Aqua Tail;Strength;Double-Edge;Hydro Pump;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Fury Cutter;Snore;Ice Fang;Uproar;Dive
160,Feraligatr,water,,85,105,100,79,83,78,2,2.3,88.8,0,Body Slam;Focus Punch;Dig;Dynamic Punch;Scald;Superpower;Secret Power;Bulldoze;Chip Away;Outrage;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Round;Avalanche;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Earthquake;Aqua Jet;Bite;Slash;Ice Beam;Dragon Claw;Rock Climb;Rage;Waterfall;Crunch;Ancient Power;Cut;Water Gun;Surf;Thrash;Hydro Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Double-Edge;Hydro Pump;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Fury Cutter;Dragon Tail;Snore;Ice Fang;Uproar;Giga Impact;Dive
161,Sentret,normal,,35,46,34,35,45,20,2,0.8,6.0,0,Hyper Voice;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;U-turn;Thunderbolt;Fury Swipes;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Round;Brick Break;Headbutt;Mud-Slap;Shadow Claw;Slam;Iron Tail;Scratch;Pursuit;Thunder Punch;Slash;Ice Beam;Flamethrower;Echoed Voice;Knock Off;Retaliate;Cut;Surf;Last Resort;Facade;Rollout;Aqua Tail;Thief;Double-Edge;Quick Attack;Charge Beam;Water Pulse;Hidden Power;Brutal Swing;Fury Cutter;Sucker Punch;Shadow Ball;Snore;Uproar
162,Furret,normal,,85,76,64,45,55,90,2,1.8,32.5,0,Hyper Voice;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;U-turn;Thunderbolt;Fury Swipes;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Focus Blast;Thunder;Round;Brick Break;Headbutt;Mud-Slap;Shadow Claw;Slam;Iron Tail;Scratch;Pursuit;Thunder Punch;Slash;Ice Beam;Flamethrower;Echoed Voice;Knock Off;Retaliate;Cut;Surf;Last Resort;Facade;Hyper Beam;Rollout;Aqua Tail;Strength;Thief;Double-Edge;Quick Attack;Charge Beam;Water Pulse;Hidden Power;Brutal Swing;Fury Cutter;Sucker Punch;Shadow Ball;Snore;Uproar;Giga Impact
163,Hoothoot,normal,flying,60,30,30,36,56,50,2,0.7,21.2,0,Hyper Voice;Zen Headbutt;Twister;Confusion;Fly;Take Down;Secret Power;Ominous Wind;Round;Extrasensory;Mud-Slap;Steel Wing;Silver Wind;Air Slash;Synchronoise;Echoed Voice;Pluck;Peck;Hurricane;Heat Wave;Sky Attack;Facade;Thief;Double-Edge;Wing Attack;Dream Eater;Moonblast;Psychic;Hidden Power;Air Cutter;Shadow Ball;Snore;Uproar
164,Noctowl,normal,flying,100,50,50,86,96,70,2,1.6,40.8,0,Hyper Voice;Zen Headbutt;Twister;Confusion;Fly;Take Down;Secret Power;Ominous Wind;Round;Extrasensory;Mud-Slap;Steel Wing;Silver Wind;Air Slash;Synchronoise;Echoed Voice;Pluck;Peck;Hurricane;Heat Wave;Sky Attack;Facade;Hyper Beam;Thief;Double-Edge;Wing Attack;Dream Eater;Moonblast;Psychic;Hidden Power;Air Cutter;Shadow Ball;Snore;Uproar;Giga Impact
165,Ledyba,bug,flying,40,20,30,40,80,55,2,1.0,10.8,0,Thief;Psybeam;Round;Knock Off;Double-Edge;Brick Break;Headbutt;Focus Punch;Comet Punch;Bug Bite;Dig;Dynamic Punch;U-turn;Mega Punch;Bug Buzz;Mach Punch;Dizzy Punch;Hidden Power;Silver Wind;Secret Power;Infestation;Air Cutter;Thunder Punch;Struggle Bug;Power-Up Punch;Solar Beam;Ice Punch;Air Slash;Ominous Wind;Drain Punch;Facade;Giga Drain;Rollout;Snore;Uproar;Acrobatics
166,Ledian,bug,flying,55,35,50,55,110,85,2,1.4,35.6,0,Focus Punch;Comet Punch;Dig;Dynamic Punch;U-turn;Bug Buzz;Secret Power;Struggle Bug;Power-Up Punch;Solar Beam;Ice Punch;Ominous Wind;Rock Smash;Giga Drain;Focus Blast;Psybeam;Round;Brick Break;Headbutt;Dizzy Punch;Silver Wind;Thunder Punch;Air Slash;Knock Off;Drain Punch;Facade;Hyper Beam;Rollout;Strength;Thief;Double-Edge;Bug Bite;Mega Punch;Mach Punch;Hidden Power;Infestation;Air Cutter;Snore;Uproar;Giga Impact;Acrobatics
167,Spinarak,bug,poison,40,60,40,40,40,30,2,0.5,8.5,0,Shadow Sneak;Bounce;Thief;Psybeam;Constrict;Body Slam;Round;Double-Edge;Cross Poison;Dig;Bug Bite;Poison Jab;Poison Sting;Foul Play;Leech Life;Psychic;Hidden Power;Pursuit;Fury Swipes;Secret Power;Night Slash;Infestation;Struggle Bug;Venoshock;Solar Beam;Signal Beam;Sucker Punch;Megahorn;Electroweb;Absorb;Giga Drain;Snore;Sludge Bomb;Facade;X-Scissor;Twineedle;Lunge
168,Ariados,bug,poison,70,90,70,60,70,40,2,1.1,33.5,0,Shadow Sneak;Body Slam;Dig;Fury Swipes;Secret Power;Night Slash;Struggle Bug;Venoshock;Solar Beam;Giga Drain;Sludge Bomb;Twineedle;Fell Stinger;Bounce;Psybeam;Constrict;Round;Poison Jab;Pursuit;Signal Beam;Electroweb;Absorb;X-Scissor;Poison Sting;Leech Life;Megahorn;Facade;Hyper Beam;Lunge;Thief;Double-Edge;Cross Poison;Bug Bite;Foul Play;Psychic;Hidden Power;Infestation;Sucker Punch;Snore;Giga Impact
169,Crobat,poison,flying,85,90,80,70,80,130,2,1.8,75.0,0,Zen Headbutt;Twister;U-turn;Fly;Secret Power;Venoshock;Ominous Wind;Sludge Bomb;Giga Drain;Gust;Round;Steel Wing;Pursuit;Poison Fang;Bite;Air Slash;Dark Pulse;Absorb;X-Scissor;Pluck;Payback;Leech Life;Heat Wave;Astonish;Sky Attack;Facade;Hyper Beam;Thief;Double-Edge;Quick Attack;Cross Poison;Wing Attack;Hidden Power;Brave Bird;Air Cutter;Shadow Ball;Snore;Uproar;Giga Impact;Acrobatics
